context,pattern,translation
grade,(?i)tigers?,1
grade,(?i)wolfs?,2
grade,(?i)wolves,2
grade,(?i)bears?,3
grade,(?i)wee?b\s?1?,4
grade,(?i)webelos?\s?1?,4
grade,(?i)wee?b\s?2,5
grade,(?i)webelos?\s?2,5
grade,(?i)arrow,5
grade,(?i)sib,6
grade,(?i)adult,6
grade,(?i)parent,6
racing_class,(?i)(cub\s?)?scouts?,1
racing_class,(?i)famil(y|ies),2
racing_class,(?i)sib,2
racing_class,(?i)friends?,2
racing_class,(?i)legends?,2
racing_class,(?i)old(\s|\-)?timers?,3
racing_class,(?i)adults?,3
racing_class,(?i)leaders?,3
racing_class,(?i)parents?,3
